Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Cluster,Segment,predicted_ltv,last_purchase_date,churned,churn_probability,action_code,action_label,action
12346.0,326,1,77183.6,1,1,5,115,3,Loyal Customers,0.0,2011-01-18 10:01:00,1,0.68169284,let_go,⚪ Let Go,⚪ Let Go
12347.0,2,7,4310.0,5,5,5,555,0,At Risk,872.8909128892202,2011-12-07 15:52:00,0,0.042709503,nurture,🟢 Nurture,🟢 Nurture
12348.0,75,4,1437.24,2,4,4,244,0,At Risk,213.87169346823924,2011-09-25 13:13:00,0,0.43046927,nurture,🟢 Nurture,🟢 Nurture
12349.0,19,1,1457.55,4,1,4,414,0,At Risk,0.0,2011-11-21 09:51:00,0,0.7361444,let_go,⚪ Let Go,⚪ Let Go
12350.0,310,1,294.4,1,1,2,112,1,Hibernating,0.0,2011-02-02 16:01:00,1,0.74204737,let_go,⚪ Let Go,⚪ Let Go
12352.0,36,7,1385.74,3,5,4,354,0,At Risk,322.07571805617727,2011-11-03 14:37:00,0,0.0530744,nurture,🟢 Nurture,🟢 Nurture
12353.0,204,1,89.0,1,1,1,111,1,Hibernating,0.0,2011-05-19 17:47:00,1,0.78954464,let_go,⚪ Let Go,⚪ Let Go
12354.0,232,1,1079.4,1,1,4,114,1,Hibernating,0.0,2011-04-21 13:11:00,1,0.58950293,let_go,⚪ Let Go,⚪ Let Go
12355.0,214,1,459.4,1,1,2,112,1,Hibernating,0.0,2011-05-09 13:49:00,1,0.6685883,let_go,⚪ Let Go,⚪ Let Go
12356.0,23,3,2487.43,4,3,5,435,0,At Risk,175.90578069934347,2011-11-17 08:40:00,0,0.6722024,retain,🔴 Retain Immediately,🔴 Retain Immediately
12357.0,33,1,6207.67,4,1,5,415,0,At Risk,0.0,2011-11-06 16:07:00,0,0.44651,monitor,🔵 Monitor,🔵 Monitor
12358.0,2,2,928.0600000000001,5,2,4,524,0,At Risk,430.24212879432184,2011-12-08 10:26:00,0,0.10608529,nurture,🟢 Nurture,🟢 Nurture
12359.0,58,4,6310.03,3,4,5,345,0,At Risk,1680.9846218214336,2011-10-13 12:47:00,0,0.038514193,nurture,🟢 Nurture,🟢 Nurture
12360.0,52,3,2302.06,3,3,5,335,0,At Risk,687.7134156331791,2011-10-18 15:22:00,0,0.37555674,nurture,🟢 Nurture,🟢 Nurture
12361.0,287,1,174.9,1,1,1,111,1,Hibernating,0.0,2011-02-25 13:51:00,1,0.7252728,let_go,⚪ Let Go,⚪ Let Go
12362.0,3,10,4737.23,5,5,5,555,0,At Risk,1234.5367188836622,2011-12-06 15:40:00,0,0.14001463,nurture,🟢 Nurture,🟢 Nurture
12363.0,110,2,552.0,2,2,3,223,0,At Risk,139.3325239393797,2011-08-22 10:18:00,1,0.6592904,let_go,⚪ Let Go,⚪ Let Go
12364.0,8,4,1208.1,5,4,4,544,0,At Risk,463.7952376775246,2011-12-02 10:22:00,0,0.08071721,nurture,🟢 Nurture,🟢 Nurture
12365.0,291,1,320.69,1,1,2,112,1,Hibernating,0.0,2011-02-21 13:51:00,1,0.74204737,let_go,⚪ Let Go,⚪ Let Go
12367.0,4,1,150.9,5,1,1,511,0,At Risk,0.0,2011-12-05 16:48:00,0,0.7604684,let_go,⚪ Let Go,⚪ Let Go
12370.0,51,4,3421.94,3,4,5,345,0,At Risk,496.39143735674577,2011-10-19 14:51:00,0,0.22920336,nurture,🟢 Nurture,🟢 Nurture
12371.0,60,1,1527.96,3,1,4,314,0,At Risk,0.0,2011-10-11 10:43:00,0,0.7488058,let_go,⚪ Let Go,⚪ Let Go
12372.0,72,3,1196.04,3,3,4,334,0,At Risk,294.63447593452037,2011-09-29 12:12:00,0,0.37961942,nurture,🟢 Nurture,🟢 Nurture
12373.0,311,1,324.6,1,1,2,112,1,Hibernating,0.0,2011-02-01 13:10:00,1,0.67603123,let_go,⚪ Let Go,⚪ Let Go
12374.0,25,1,622.93,4,1,3,413,0,At Risk,0.0,2011-11-14 15:37:00,0,0.62328583,let_go,⚪ Let Go,⚪ Let Go
12375.0,11,2,377.5,5,2,2,522,0,At Risk,217.89202971353262,2011-11-29 10:36:00,0,0.105190404,nurture,🟢 Nurture,🟢 Nurture
12377.0,315,2,1548.12,1,2,4,124,1,Hibernating,212.27233684502554,2011-01-28 15:45:00,1,0.8727686,retain,🔴 Retain Immediately,🔴 Retain Immediately
12378.0,130,1,4008.62,2,1,5,215,0,At Risk,0.0,2011-08-02 10:34:00,1,0.5819667,let_go,⚪ Let Go,⚪ Let Go
